                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2539,                 4.5882,                 1.5196,                0.08612,                0.40657,                0.11355,                0.05823,                0.98227,                 3.2593,                 1.3388,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.79478,                 2.3526,                 1.1479,                 0.3964,                0.85547,                0.67138,                0.56354,                0.58679,                 1.8262,                0.96488,             5.5845e-05,             5.5845e-05,             5.5845e-05
                      3,                0.74367,                 1.4738,                 1.1256,                0.56491,                  0.875,                0.79847,                0.68411,                0.57259,                 1.7244,                0.98094,             4.5342e-05,             4.5342e-05,             4.5342e-05
